2021-10-12 21:55:42 INFO  Logging:271 - New withdrawal detected.
2021-10-12 21:56:57 INFO  Logging:81 - User was successfully logged in
2021-10-12 21:58:33 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-12 21:59:25 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:59:37 INFO  Logging:216 - New pending account detected.
2021-10-12 22:00:02 INFO  Logging:81 - User was successfully logged in
2021-10-12 22:00:51 INFO  Logging:51 - User was successfully logged in
2021-10-12 22:01:02 INFO  Logging:246 - New deposit detected.
2021-10-12 22:01:11 INFO  Logging:246 - New deposit detected.
2021-10-12 22:01:26 INFO  Logging:271 - New withdrawal detected.
2021-10-12 22:01:54 INFO  Logging:81 - User was successfully logged in
2021-10-12 22:03:58 INFO  Logging:51 - User was successfully logged in
